RXI$US_N.B.EU,RXI$US_N.B.UK,RXI_N.B.BZ,RXI_N.B.CH,RXI_N.B.DN,RXI_N.B.IN,RXI_N.B.JA,RXI_N.B.KO,RXI_N.B.MA,RXI_N.B.MX,RXI_N.B.NO,RXI_N.B.SD,RXI_N.B.SF,RXI_N.B.SI,RXI_N.B.SZ,RXI_N.B.TA,RXI_N.B.TH,RXI_N.B.VE,JRXWTFB_N.B,JRXWTFN_N.B,JRXWTFO_N.B,RXI$US_N.B.AL,RXI$US_N.B.NZ,RXI_N.B.CA,RXI_N.B.HK,RXI_N.B.SL,Date
1.1296,1.638,1.89,8.2776,6.583,42.5,114.38,1177,3.8,10.0925,7.638,7.862,5.965,1.6905,1.4175,32.29,37,0.577,115.3544,95.0768,130.6878,0.652,0.5597,1.4875,7.7495,68.97,1999-02-08
1.13,1.6355,1.91,8.2776,6.5795,42.5,114.42,1177,3.8,10.08,7.65,7.8845,6.1,1.693,1.4183,32.32,37.13,0.5775,115.4592,95.2254,130.6866,0.6468,0.5546,1.4935,7.7495,68.6,1999-02-09
1.1331,1.629,1.91,8.2776,6.5625,42.45,114.45,1179,3.8,10.063,7.64,7.885,6.0895,1.6915,1.4083,32.31,37.1,0.5783,115.3747,95.1906,130.5235,0.6453,0.551,1.4943,7.749,68.6,1999-02-10
1.1303,1.6244,1.9,8.2776,6.579,42.51,114.7,1176.4,3.8,10.002,7.6305,7.89,6.07,1.689,1.4154,32.36,37.05,0.5784,115.3153,95.2351,130.2762,0.6495,0.5511,1.4889,7.7495,69,1999-02-11
1.1282,1.6311,1.9,8.2776,6.5915,42.6,114.32,1176.7,3.7997,9.95,7.6215,7.883,6.1055,1.6913,1.4157,32.35,36.95,0.5781,115.2792,95.2575,130.1351,0.6463,0.5493,1.4925,7.75,69.12,1999-02-12
1.1189,1.6317,1.91,8.2787,6.6425,42.51,118.08,1176,3.8,9.9225,7.737,7.933,6.135,1.6965,1.429,32.38,36.9,0.578,116.0742,96.3971,130.111,0.638,0.5382,1.5,7.7482,69,1999-02-16
1.123,1.6338,1.93,8.2787,6.623,42.5,119.03,1176,3.8,9.884,7.75,7.93,6.16,1.6985,1.4247,32.4,37.05,0.578,116.1133,96.4432,130.129,0.6336,0.5373,1.4995,7.7482,69.2,1999-02-17
1.1223,1.6338,1.91,8.2787,6.625,42.51,119.82,1183,3.8,9.885,7.796,7.966,6.18,1.7018,1.425,32.4,37.1,0.5776,116.09,96.3749,130.1958,0.635,0.5388,1.4873,7.7488,69.22,1999-02-18
1.1075,1.6255,1.94,8.2787,6.71,42.47,121,1206,3.8,9.935,7.833,8.02,6.26,1.7085,1.4462,32.5,37.65,0.5778,116.861,97.14,130.8233,0.6375,0.5412,1.4905,7.749,69.31,1999-02-19
1.1037,1.6238,1.96,8.2787,6.742,42.43,120.35,1218,3.8,9.93,7.844,8.073,6.2,1.7125,1.4483,33.2,37.7,0.5775,117.1189,97.2769,131.2589,0.64,0.542,1.4972,7.7486,69.39,1999-02-22
1.0993,1.6138,2.04,8.2787,6.76,42.48,121.45,1213,3.8,9.95,7.87,8.1,6.2225,1.722,1.4495,33.1,37.56,0.5784,117.4639,97.6737,131.4366,0.6392,0.5373,1.4975,7.7477,69.28,1999-02-23
1.0972,1.598,2.01,8.2787,6.782,42.6,121.9,1219,3.8,9.938,7.913,8.145,6.2045,1.7285,1.452,33.2,37.65,0.577,117.6883,97.9785,131.4645,0.6315,0.531,1.499,7.7491,69.46,1999-02-24
1.1068,1.606,2.04,8.2789,6.7195,42.6,119.26,1225,3.8,9.995,7.8625,8.115,6.19,1.7235,1.4345,33.14,37.47,0.577,117.2876,97.2805,131.7074,0.6272,0.5268,1.505,7.7487,69.54,1999-02-25
1.0995,1.6027,2.09,8.279,6.765,42.83,118.7,1224.5,3.8,9.9365,7.9105,8.1915,6.205,1.7231,1.4495,33.13,37.32,0.5753,117.4449,97.5429,131.6333,0.6205,0.525,1.509,7.748,69.56,1999-02-26
1.0891,1.6058,2.05,8.2792,6.82,42.54,119.79,1222,3.8,9.915,7.95,8.255,6.2325,1.7262,1.462,33.05,37.39,0.5758,117.9395,98.3483,131.4425,0.6179,0.5237,1.524,7.7474,69.56,1999-03-01
1.0931,1.6135,2.17,8.2789,6.805,42.58,120.47,1225.5,3.8,9.951,7.925,8.237,6.2475,1.7345,1.4582,33.1,37.57,0.5767,118.0517,98.2165,131.992,0.6205,0.5281,1.52,7.748,69.61,1999-03-02
1.0888,1.6134,2.2,8.2789,6.8296,42.58,121.68,1230.4,3.8,9.965,7.941,8.262,6.25,1.737,1.461,33.15,37.65,0.5763,118.4585,98.6915,132.1895,0.623,0.5287,1.5268,7.749,69.62,1999-03-03
1.0824,1.6065,2.11,8.2783,6.8668,42.55,123.5,1241,3.8,9.935,7.9438,8.2779,6.249,1.7365,1.47,33.2,37.88,0.5765,118.7952,99.2337,132.0738,0.6242,0.5278,1.5255,7.7495,69.65,1999-03-04
1.0843,1.6073,2,8.2784,6.851,42.55,122.57,1243,3.8,9.876,7.905,8.2385,6.213,1.7275,1.4686,33.4,37.47,0.577,118.3161,98.8104,131.5844,0.6285,0.5315,1.5167,7.749,69.9,1999-03-05
1.0899,1.6085,1.975,8.2786,6.815,42.56,121.73,1240.5,3.8,9.838,7.8575,8.205,6.2,1.7282,1.4612,33.2,37.15,0.5775,117.915,98.4232,131.2363,0.6305,0.5325,1.5145,7.7485,69.9,1999-03-08
1.0873,1.6148,1.92,8.2791,6.8375,42.53,121.4,1236.5,3.8,9.7945,7.8575,8.189,6.1675,1.7303,1.4675,33.22,37.27,0.5773,117.8293,98.4346,130.9853,0.6357,0.5346,1.5169,7.7483,69.75,1999-03-09
1.0961,1.6267,1.87,8.2788,6.785,42.5,119.84,1234.9,3.8,9.8,7.813,8.112,6.1475,1.7295,1.4566,33.15,37.48,0.5783,117.4354,97.9333,130.8705,0.635,0.5352,1.524,7.7492,69.7,1999-03-10
1.0932,1.627,1.895,8.2789,6.8025,42.48,119.57,1231,3.8,9.75,7.8,8.094,6.16,1.7358,1.4685,33.15,38.65,0.5793,117.4952,97.9353,131.027,0.6365,0.534,1.522,7.75,69.72,1999-03-11
1.0936,1.6335,1.91,8.2789,6.797,42.52,118.99,1235,3.8,9.77,7.805,8.115,6.185,1.732,1.4608,33.16,37.45,0.58,117.3721,97.8018,130.9478,0.636,0.534,1.5235,7.749,69.68,1999-03-12
1.093,1.6223,1.88,8.2789,6.8045,42.5,117.7,1232,3.8,9.69,7.842,8.1675,6.215,1.7178,1.466,33.12,37.38,0.5795,117.1365,97.7821,130.3532,0.6315,0.5325,1.5286,7.75,69.55,1999-03-15
1.0915,1.624,1.86,8.2789,6.808,42.5,117.74,1230,3.8,9.68,7.826,8.21,6.257,1.7222,1.4665,33.14,37.28,0.5789,117.1501,97.8486,130.2652,0.626,0.5291,1.5285,7.75,69.65,1999-03-16
1.1015,1.6302,1.89,8.2788,6.7425,42.5,118.15,1228,3.8,9.683,7.739,8.15,6.232,1.724,1.4483,33.2,37.3,0.5803,116.9342,97.4392,130.4551,0.6273,0.527,1.5222,7.7502,69.35,1999-03-17
1.099,1.629,1.87,8.2788,6.7595,42.5,117.53,1226,3.8,9.64,7.698,8.11,6.26,1.7238,1.4534,33.1,37.445,0.5808,116.7897,97.3217,130.2885,0.6301,0.532,1.5186,7.7505,69.55,1999-03-18
1.0923,1.6303,1.855,8.2793,6.7964,42.5,117.05,1220,3.8,9.675,7.7169,8.1747,6.19,1.7235,1.462,33.11,37.47,0.5808,116.8137,97.3871,130.2296,0.6304,0.5307,1.5158,7.7502,69.42,1999-03-19
1.0915,1.628,1.87,8.2792,6.8159,42.5,118.14,1224,3.8,9.715,7.746,8.198,6.175,1.7297,1.464,33.13,37.59,0.5813,116.9788,97.47,130.5168,0.6336,0.5334,1.5078,7.7495,69.52,1999-03-22
1.0918,1.6372,1.855,8.2795,6.8145,42.5,118.02,1226.5,3.8,9.67,7.744,8.198,6.24,1.7315,1.4586,33.15,37.53,0.5823,116.8323,97.336,130.3757,0.6382,0.5365,1.5065,7.749,69.52,1999-03-23
1.0921,1.641,1.845,8.2796,6.807,42.5,117.35,1224.4,3.8,9.6875,7.75,8.25,6.2025,1.7253,1.4575,33.15,37.6,0.5835,116.734,97.1411,130.4792,0.6394,0.5404,1.504,7.7492,69.4,1999-03-24
1.0871,1.6314,1.805,8.2798,6.839,42.5,118.05,1225,3.8,9.645,7.767,8.258,6.205,1.7272,1.4681,33.175,37.65,0.5848,117.0434,97.6214,130.4053,0.6363,0.5373,1.5105,7.7495,69.4,1999-03-25
1.0743,1.6205,1.77,8.28,6.922,42.5,120.3,1223.7,3.8,9.59,7.803,8.335,6.265,1.7355,1.4845,33.18,37.685,0.584,117.5923,98.5708,130.0992,0.6352,0.536,1.5135,7.7495,69.37,1999-03-26
1.0716,1.614,1.775,8.2797,6.938,42.48,119.78,1226.2,3.8,9.514,7.795,8.345,6.2335,1.7331,1.4877,33.2,37.66,0.5832,117.4631,98.5903,129.7195,0.6323,0.5336,1.5125,7.7497,69.38,1999-03-29
1.0732,1.6115,1.735,8.28,6.9245,42.5,120.1,1230,3.8,9.54,7.795,8.337,6.215,1.733,1.489,33.2,37.67,0.584,117.4707,98.6357,129.6559,0.627,0.5308,1.5125,7.7493,69.45,1999-03-30
1.0808,1.614,1.72,8.28,6.878,42.5,118.43,1228,3.8,9.521,7.728,8.213,6.17,1.7275,1.4775,33.17,37.58,0.5838,116.9313,97.96,129.4735,0.634,0.534,1.5092,7.75,69.45,1999-03-31
1.0782,1.6063,1.73,8.2796,6.897,42.5,120.19,1225,3.8,9.5175,7.753,8.2465,6.17,1.7295,1.481,33.2,37.72,0.5838,117.1947,98.2793,129.5819,0.6354,0.5345,1.5023,7.7499,69.55,1999-04-01
1.0782,1.6023,1.735,8.2794,6.8945,42.5,120.6,1225.2,3.8,9.51,7.746,8.238,6.175,1.732,1.481,33.18,37.73,0.5838,117.1934,98.2717,129.5925,0.6345,0.5335,1.4968,7.75,69.55,1999-04-02
1.0706,1.6015,1.73,8.2795,6.94,42.5,122,1228,3.8,9.475,7.79,8.29,6.165,1.7358,1.4912,33.3,37.765,0.5838,117.5505,98.7953,129.5728,0.6315,0.5325,1.4972,7.7505,69.5,1999-04-05
1.0838,1.592,1.73,8.2797,6.856,42.75,120.74,1231,3.8,9.495,7.699,8.214,6.1725,1.7325,1.4725,33.32,37.76,0.584,117.2518,98.3333,129.6337,0.628,0.53,1.5035,7.7495,69.55,1999-04-06
1.0784,1.5975,1.735,8.2797,6.8945,42.75,121.34,1223,3.8,9.498,7.763,8.298,6.195,1.7345,1.4807,33.3,37.77,0.5844,117.3832,98.5406,129.5991,0.6272,0.5311,1.5005,7.7488,69.3,1999-04-07
1.0835,1.6083,1.725,8.2799,6.8595,42.76,120.85,1227,3.8,9.49,7.776,8.2685,6.22,1.7283,1.4724,33.3,37.8,0.5848,117.1505,98.1895,129.6308,0.6244,0.53,1.4985,7.7485,69.25,1999-04-08
1.0786,1.6068,1.71,8.2797,6.888,42.78,121.09,1226,3.8,9.587,7.7835,8.275,6.18,1.7328,1.4832,33.18,37.95,0.5858,117.4202,98.4581,129.8503,0.6296,0.5353,1.5023,7.7483,69.3,1999-04-09
1.0842,1.6127,1.71,8.2797,6.856,42.77,120.14,1225,3.8,9.56,7.72,8.273,6.175,1.7235,1.4795,33.1,37.98,0.5863,116.9908,97.9171,129.7118,0.6343,0.5425,1.4945,7.7495,69.46,1999-04-12
1.078,1.6135,1.665,8.2797,6.903,42.9,120.04,1223,3.8,9.51,7.76,8.3,6.11,1.7175,1.49,33.1,37.95,0.5873,116.9073,97.9944,129.3454,0.6365,0.5408,1.4898,7.7505,69.46,1999-04-13
1.0779,1.6124,1.67,8.2794,6.8955,42.85,118.89,1220,3.8,9.51,7.729,8.271,6.075,1.6933,1.4879,33,37.64,0.589,116.7008,97.8394,129.0834,0.6378,0.542,1.4929,7.7492,69.46,1999-04-14
1.0717,1.6103,1.67,8.2789,6.94,42.9,119.04,1220,3.8,9.54,7.751,8.283,6.104,1.6945,1.4973,32.85,37.6,0.5883,116.8438,98.0392,129.0934,0.6359,0.5398,1.4908,7.75,69.65,1999-04-15
1.0688,1.6112,1.675,8.2787,6.958,42.75,117.86,1221,3.8,9.53,7.77,8.335,6.11,1.705,1.4993,32.9,37.4,0.5885,116.687,97.7973,129.1249,0.6466,0.5455,1.4865,7.7485,69.7,1999-04-16
1.0608,1.6075,1.675,8.2787,7.008,42.95,117.99,1215,3.8,9.378,7.7925,8.38,6.0475,1.705,1.5097,32.8,37.33,0.5888,116.598,98.0223,128.4723,0.6518,0.5483,1.4833,7.7478,69.55,1999-04-19
1.063,1.6135,1.725,8.2783,6.988,42.9,118.18,1200,3.8,9.415,7.7925,8.388,6.0825,1.709,1.5065,32.75,37.4,0.5888,116.7308,98.1388,128.6098,0.6475,0.5485,1.492,7.748,69.7,1999-04-20
1.0612,1.6074,1.74,8.2783,7.004,42.9,119.76,1195,3.8,9.3695,7.79,8.402,6.0825,1.713,1.508,32.75,37.6,0.5902,116.9317,98.4779,128.5181,0.6469,0.5469,1.4895,7.7481,69.68,1999-04-21
1.0598,1.6117,1.702,8.2783,7.013,42.81,119.84,1198,3.8,9.338,7.805,8.4,6.09,1.709,1.5095,32.8,37.57,0.59,116.7548,98.3289,128.3235,0.6507,0.5475,1.481,7.7493,69.69,1999-04-22
1.0634,1.617,1.69,8.2784,6.9956,42.85,119.26,1195,3.8,9.29,7.803,8.383,6.098,1.708,1.5071,32.75,37.6,0.5901,116.4338,97.9966,128.0846,0.6516,0.548,1.477,7.7498,69.7,1999-04-23
1.059,1.6113,1.702,8.2793,7.02,42.9,119.13,1190,3.8,9.315,7.816,8.405,6.073,1.7,1.5132,32.75,37.7,0.5898,116.5957,98.2018,128.136,0.6488,0.5474,1.4792,7.75,69.93,1999-04-26
1.0649,1.6177,1.7071,8.2794,6.9805,42.91,120.23,1185,3.8,9.3333,7.786,8.3575,6.07,1.7003,1.5085,32.75,37.67,0.59,116.5972,98.1613,128.2144,0.6505,0.549,1.4788,7.7503,69.85,1999-04-27
1.0616,1.6148,1.695,8.2791,7.0065,42.9,119.13,1182,3.8,9.3,7.807,8.3895,6.065,1.698,1.5137,32.7,37.45,0.5909,116.4222,98.0431,127.9685,0.6539,0.5512,1.477,7.751,69.8,1999-04-28
1.0591,1.6105,1.671,8.2794,7.009,42.86,119.26,1176,3.8,9.266,7.8,8.4022,6.0635,1.697,1.519,32.7,37.4,0.5914,116.2326,97.9648,127.611,0.6583,0.5555,1.467,7.7503,69.65,1999-04-29
1.0564,1.6085,1.6625,8.279,7.038,42.84,119.43,1189,3.8,9.2425,7.8175,8.445,6.085,1.6965,1.5257,32.75,37.1,0.5921,116.1893,97.9125,127.5923,0.662,0.5605,1.4578,7.7508,69.65,1999-04-30
1.0571,1.6083,1.668,8.279,7.0335,42.85,120.14,1191,3.8,9.263,7.801,8.463,6.0575,1.7035,1.5252,32.75,37.39,0.5925,116.194,97.8881,127.6495,0.664,0.561,1.4512,7.7506,69.65,1999-05-03
1.0593,1.621,1.678,8.2789,7.021,42.8,120.94,1197.1,3.8,9.277,7.785,8.472,6.0635,1.704,1.517,32.75,36.88,0.5943,116.2637,97.9424,127.7341,0.6625,0.5587,1.454,7.751,69.72,1999-05-04
1.0724,1.6337,1.686,8.2789,6.93,42.8,120.91,1199,3.8,9.3275,7.731,8.4,6.1115,1.7005,1.4975,32.77,36.78,0.5955,116.0118,97.4762,127.9246,0.6614,0.5575,1.4558,7.7513,69.8,1999-05-05
1.0779,1.6377,1.674,8.2786,6.8965,42.8,120.77,1203,3.8,9.3375,7.662,8.33,6.095,1.701,1.492,32.795,37,0.5968,115.8487,97.2166,127.9714,0.669,0.5635,1.4555,7.752,69.85,1999-05-06
1.0781,1.635,1.672,8.2783,6.892,42.8,120.78,1203,3.8,9.347,7.6475,8.313,6.142,1.6985,1.491,32.78,36.83,0.5958,115.862,97.2769,127.895,0.6709,0.5599,1.4585,7.7509,69.89,1999-05-07
1.0787,1.63,1.653,8.2787,6.883,42.8,120.68,1201.2,3.8,9.2985,7.6155,8.2885,6.172,1.6987,1.4895,32.83,36.8,0.5962,115.7621,97.3093,127.5703,0.6688,0.56,1.4605,7.751,70.1,1999-05-10
1.072,1.6215,1.649,8.2782,6.931,42.8,120.96,1199,3.8,9.2555,7.669,8.358,6.166,1.6972,1.4998,32.74,36.79,0.594,115.8376,97.4933,127.4314,0.6712,0.5621,1.4538,7.7515,70.35,1999-05-11
1.0666,1.6193,1.66,8.2783,6.9705,42.8,120.86,1206,3.8,9.324,7.706,8.395,6.2075,1.7003,1.5025,32.74,36.82,0.5964,116.2221,97.8084,127.8701,0.667,0.56,1.4608,7.752,70.57,1999-05-12
1.0626,1.619,1.655,8.2778,6.994,42.8,121.67,1206.5,3.8,9.2675,7.718,8.425,6.216,1.706,1.508,32.75,37.05,0.596,116.3755,98.0645,127.8056,0.6679,0.5595,1.4598,7.7518,70.74,1999-05-13
1.065,1.6175,1.658,8.2784,6.9785,42.83,122.64,1208,3.8,9.3675,7.705,8.4175,6.2235,1.714,1.5058,32.79,37.22,0.5963,116.6651,98.2565,128.2193,0.6648,0.5578,1.4635,7.7525,70.95,1999-05-14
1.0672,1.6193,1.672,8.2785,6.967,42.76,123.27,1207,3.8,9.3625,7.682,8.425,6.1925,1.7115,1.5013,32.79,37.25,0.5958,116.6567,98.2248,128.2552,0.6662,0.5592,1.4605,7.7522,70.9,1999-05-17
1.0672,1.6203,1.67,8.279,6.965,42.77,123.24,1201,3.8,9.3,7.703,8.4375,6.155,1.7123,1.503,32.8,37.05,0.5965,116.5034,98.2102,127.8767,0.6705,0.5618,1.4607,7.7539,71.2,1999-05-18
1.0641,1.6175,1.67,8.2783,6.9845,42.8,124.45,1200,3.8,9.312,7.759,8.461,6.185,1.7215,1.505,32.81,37.18,0.5968,116.8983,98.6704,128.0776,0.6633,0.5519,1.4661,7.7546,71.3,1999-05-19
1.063,1.6122,1.6975,8.278,6.994,42.8,124.15,1200,3.8,9.34,7.7665,8.445,6.215,1.7212,1.5083,32.85,37.13,0.597,116.9912,98.684,128.2977,0.661,0.548,1.4658,7.7544,71.2,1999-05-20
1.0577,1.602,1.705,8.278,7.029,42.8,123.9,1194.5,3.8,9.37,7.7895,8.489,6.2025,1.7205,1.5175,32.855,37.15,0.5973,117.07,98.76,128.3665,0.6595,0.5449,1.4595,7.7546,70.85,1999-05-21
1.0593,1.5978,1.703,8.2785,7.016,42.8,123.57,1189.5,3.8,9.4,7.792,8.471,6.215,1.7223,1.5115,32.8,37.1,0.5979,116.9678,98.5938,128.4009,0.6595,0.5465,1.4559,7.7545,71.15,1999-05-24
1.0587,1.6021,1.753,8.2789,7.0135,42.8,122.88,1186.6,3.8,9.5475,7.79,8.4875,6.2325,1.7255,1.505,32.77,37.17,0.598,117.1596,98.5484,128.9915,0.658,0.5435,1.4603,7.755,70.8,1999-05-25
1.0471,1.5963,1.728,8.279,7.098,42.95,122.03,1191.2,3.8,9.665,7.859,8.573,6.2625,1.7315,1.522,32.79,37.17,0.5987,117.6918,99.0822,129.4191,0.6492,0.5335,1.472,7.7557,70.78,1999-05-26
1.0439,1.5957,1.72,8.2788,7.122,43.45,121.27,1188.7,3.8,9.755,7.9055,8.614,6.27,1.731,1.5265,32.85,37.11,0.599,117.83,99.1322,129.6931,0.6485,0.5344,1.4755,7.7556,70.92,1999-05-27
1.0422,1.602,1.734,8.2786,7.131,43.17,120.88,1186.1,3.8,9.7925,7.9045,8.598,6.2325,1.7235,1.528,32.8,37.15,0.5992,117.7551,98.9972,129.7432,0.6528,0.5355,1.4725,7.7575,70.9,1999-05-28
1.0449,1.615,1.741,8.2781,7.118,43,120.75,1187.4,3.8,9.81,7.889,8.598,6.21,1.7227,1.523,32.8,37.1,0.5995,117.8005,99.0508,129.7646,0.6415,0.5292,1.483,7.7557,70.85,1999-06-01
1.0357,1.6075,1.7555,8.2787,7.178,43,121.14,1186.2,3.8,9.775,7.9445,8.6405,6.2085,1.7267,1.5365,32.8,37.13,0.5995,118.0395,99.4149,129.728,0.6445,0.5256,1.4805,7.756,71,1999-06-02
1.0355,1.6055,1.755,8.2784,7.187,43,121.5,1185,3.8,9.6575,7.9695,8.646,6.1975,1.7275,1.5375,32.8,37.08,0.5999,117.9074,99.4177,129.3739,0.6477,0.5248,1.4768,7.7567,70.75,1999-06-03
1.0327,1.6074,1.735,8.2781,7.207,43,121.99,1184,3.8,9.615,7.9745,8.65,6.16,1.7268,1.5385,32.8,37.14,0.6006,117.8066,99.4123,129.1177,0.6555,0.532,1.4696,7.7563,70.85,1999-06-04
1.0296,1.601,1.7425,8.2781,7.213,43.05,121.31,1184,3.8,9.4975,7.95,8.634,6.09,1.723,1.5425,32.65,37.1,0.6008,117.6609,99.4936,128.5861,0.6583,0.5318,1.4735,7.7572,70.71,1999-06-07
1.0438,1.605,1.75,8.2779,7.117,43.05,119.88,1178.5,3.8,9.5,7.851,8.525,6.108,1.7122,1.525,32.6,36.97,0.6015,117.0147,98.6573,128.4086,0.6586,0.5305,1.47,7.7575,70.87,1999-06-08
1.045,1.6001,1.75,8.2778,7.1165,43.07,119.2,1166.5,3.8,9.565,7.87,8.557,6.134,1.712,1.525,32.55,37,0.602,117.0103,98.5812,128.5361,0.6585,0.5328,1.4723,7.757,70.83,1999-06-09
1.0477,1.6002,1.764,8.2777,7.0895,43.15,118.85,1167.5,3.8,9.6,7.8263,8.493,6.135,1.7155,1.524,32.55,36.91,0.602,116.8004,98.2013,128.6789,0.6625,0.5355,1.462,7.757,70.91,1999-06-10
1.0516,1.6085,1.774,8.2777,7.0715,43.06,118.14,1168,3.8,9.545,7.8035,8.4555,6.08,1.711,1.5195,32.5,36.9,0.602,116.4952,97.844,128.5284,0.6643,0.5404,1.46,7.757,70.9,1999-06-11
1.0416,1.6075,1.78,8.2776,7.134,43.25,120.4,1171,3.8,9.5825,7.855,8.5025,6.097,1.713,1.53,32.43,37.05,0.6028,117.0497,98.6064,128.5941,0.663,0.5385,1.4608,7.7575,70.99,1999-06-14
1.042,1.595,1.791,8.2781,7.132,43.45,120.63,1167,3.8,9.5155,7.862,8.4875,6.0925,1.7092,1.5315,32.39,37,0.603,117.0839,98.8183,128.2969,0.658,0.5335,1.4653,7.7577,71.5,1999-06-15
1.0298,1.5862,1.7675,8.2776,7.2115,43.2,120.03,1165,3.8,9.4625,7.922,8.532,6.083,1.7057,1.5492,32.42,36.925,0.6036,117.1286,99.0333,128.0229,0.6565,0.534,1.4585,7.758,71.3,1999-06-16
1.0329,1.5925,1.7585,8.2775,7.1935,43.2,119.47,1167,3.8,9.379,7.883,8.4765,6.041,1.702,1.5455,32.36,36.9,0.604,116.8652,98.8258,127.7075,0.6575,0.5348,1.461,7.7577,71.25,1999-06-17
1.0368,1.5924,1.75,8.2774,7.172,43.16,120.48,1164,3.8,9.365,7.86,8.434,5.997,1.7073,1.5412,32.37,36.93,0.6048,116.9314,98.962,127.6342,0.6533,0.5312,1.4645,7.7582,71.3,1999-06-18
1.0323,1.589,1.7675,8.2778,7.201,43.17,122.28,1166,3.8,9.3925,7.841,8.412,6.015,1.7087,1.5458,33,36.92,0.6055,117.5108,99.6212,127.961,0.6508,0.5303,1.4727,7.758,71.4,1999-06-21
1.0323,1.5895,1.77,8.2781,7.2025,43.3,121.68,1160,3.8,9.358,7.8475,8.435,5.98,1.6977,1.5455,32.36,36.58,0.605,117.1678,99.4614,127.3515,0.6535,0.531,1.4705,7.758,71.45,1999-06-22
1.0316,1.5787,1.783,8.2784,7.207,43.27,122.05,1163,3.8,9.395,7.855,8.429,6.04,1.7018,1.5478,32.4,36.73,0.6054,117.4143,99.6701,127.6203,0.6568,0.5338,1.4735,7.758,71.48,1999-06-23
1.0372,1.5833,1.811,8.2779,7.178,43.45,121.83,1158,3.8,9.47,7.856,8.443,6.07,1.702,1.5395,32.38,36.65,0.6054,117.3057,99.3685,127.8804,0.6582,0.5363,1.471,7.758,71.65,1999-06-24
1.0448,1.5893,1.798,8.2775,7.113,43.45,121.28,1156,3.8,9.493,7.808,8.392,6.066,1.7005,1.529,32.41,36.655,0.6058,116.9501,98.8276,127.9276,0.6618,0.5349,1.4642,7.7581,71.58,1999-06-25
1.0373,1.5822,1.789,8.278,7.1695,43.45,121.3,1157,3.8,9.483,7.8505,8.4535,6.0575,1.705,1.5416,32.36,36.92,0.6057,117.2186,99.2523,127.8621,0.658,0.533,1.4695,7.758,71.9,1999-06-28
1.0337,1.5781,1.77,8.2786,7.193,43.5,120.81,1157.5,3.8,9.4175,7.854,8.465,6.035,1.703,1.5495,32.31,36.88,0.6064,117.2498,99.4424,127.6004,0.658,0.5309,1.476,7.758,71.59,1999-06-29
1.031,1.5765,1.77,8.2787,7.211,43.45,120.94,1157.5,3.8,9.443,7.875,8.481,6.038,1.7022,1.5555,32.31,36.89,0.6073,117.3732,99.5112,127.7993,0.6611,0.5295,1.4735,7.7586,71.59,1999-06-30
1.0236,1.5765,1.763,8.2786,7.268,43.35,120.99,1165,3.8,9.3775,7.914,8.543,6.035,1.6985,1.569,32.32,36.87,0.6071,117.3988,99.6796,127.5627,0.6665,0.5325,1.4693,7.7585,71.53,1999-07-01
1.0244,1.5792,1.77,8.2785,7.258,43.45,121.13,1164.1,3.8,9.36,7.8895,8.495,6.025,1.698,1.5678,32.28,36.95,0.6078,117.2987,99.5412,127.5501,0.6703,0.5335,1.4645,7.759,71.9,1999-07-02
1.0249,1.5688,1.7755,8.2782,7.2625,43.4,121.94,1168,3.8,9.325,7.883,8.497,6.055,1.6958,1.565,32.29,36.81,0.6087,117.4658,99.8314,127.465,0.6657,0.5295,1.4685,7.7588,71.9,1999-07-06
1.0224,1.5602,1.78,8.2783,7.273,43.45,122.19,1173,3.8,9.364,7.915,8.5025,6.051,1.6973,1.569,32.3,36.95,0.6088,117.7091,100.0516,127.7049,0.664,0.5255,1.47,7.7586,71.8,1999-07-07
1.0198,1.5577,1.7925,8.2781,7.293,43.5,122.57,1181,3.8,9.335,7.953,8.558,6.07,1.6975,1.5731,32.345,37.1,0.6093,117.8642,100.2283,127.7927,0.6655,0.5243,1.4698,7.7595,71.8,1999-07-08
1.0186,1.5515,1.805,8.2777,7.3035,43.35,122.37,1188,3.8,9.367,7.9645,8.57,6.115,1.6993,1.5775,32.355,37.16,0.6102,118.0292,100.3569,127.9926,0.6645,0.5265,1.4735,7.7603,71.9,1999-07-09
1.0139,1.5558,1.82,8.2776,7.3385,43.3,122.22,1184,3.8,9.455,7.999,8.612,6.145,1.7,1.5828,32.26,37.27,0.611,118.3452,100.6294,128.3284,0.662,0.5245,1.4812,7.7605,71.95,1999-07-12
1.0176,1.5566,1.835,8.2775,7.31,43.35,121.38,1176,3.8,9.455,8.01,8.5925,6.1535,1.6997,1.5777,32.29,37.18,0.6099,118.1503,100.3833,128.2613,0.6593,0.5225,1.4828,7.76,71.95,1999-07-13
1.0215,1.5635,1.807,8.2778,7.281,43.35,120.58,1184,3.8,9.335,7.9885,8.586,6.1525,1.699,1.5717,32.29,37.1,0.6113,117.7607,100.0265,127.8846,0.6592,0.5225,1.4811,7.76,72.1,1999-07-14
1.022,1.5665,1.827,8.2775,7.2765,43.26,120.49,1184,3.8,9.345,7.977,8.569,6.1455,1.6983,1.571,32.34,37.09,0.612,117.7399,99.9896,127.8966,0.6626,0.5253,1.4826,7.7602,72.1,1999-07-15
1.0203,1.5622,1.81,8.2773,7.286,43.35,120.98,1183,3.8,9.358,7.965,8.5525,6.151,1.7065,1.5745,32.39,37.2,0.6121,117.8803,100.1565,127.9634,0.6602,0.5236,1.482,7.76,71.68,1999-07-16
